Playlist ID,album,song,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1,Taylor Swift,Tim McGraw,0.58,0.491,0,-6.462,1,0.0251,0.575,0,0.121,0.425,76.009,232107,4
2,Taylor Swift,Picture To Burn,0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,173067,4
3,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,203040,4
4,Taylor Swift,A Place in this World,0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,199200,4
5,Taylor Swift,Cold As You,0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,239013,4
6,Taylor Swift,The Outside,0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,207107,4
7,Taylor Swift,Tied Together with a Smile,0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,248107,4
8,Taylor Swift,Stay Beautiful,0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,236053,4
9,Taylor Swift,Should've Said No,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,242200,4
10,Taylor Swift,Mary's Song (Oh My My My),0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,213080,4
11,Taylor Swift,Our Song,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,201107,4
12,Taylor Swift,I'm Only Me When I'm With You,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,213053,4
13,Taylor Swift,Invisible,0.612,0.394,7,-5.723,1,0.0243,0.637,0,0.147,0.233,96.001,203227,4
14,Taylor Swift,A Perfectly Good Heart,0.483,0.751,4,-5.726,1,0.0365,0.00349,0,0.128,0.268,156.092,220147,4
15,Fearless,Fearless,0.594,0.712,5,-4.418,1,0.0273,0.04,0,0.309,0.476,99.972,241987,4
16,Fearless,Fifteen,0.556,0.651,7,-4.396,1,0.0266,0.067,0,0.145,0.203,95.485,294333,4
17,Fearless,Love Story,0.618,0.741,2,-3.95,1,0.031,0.17,0,0.0822,0.296,118.984,235267,4
18,Fearless,Hey Stephen,0.841,0.544,6,-7.347,1,0.0309,0.194,2.48E-06,0.108,0.831,115.994,254307,4
19,Fearless,White Horse,0.578,0.34,0,-8.027,1,0.0264,0.305,0,0.104,0.223,92.702,234427,4
20,Fearless,You Belong With Me,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35E-05,0.114,0.443,129.964,231133,4
21,Fearless,Breathe,0.505,0.482,1,-7.372,1,0.0276,0.379,0,0.113,0.184,73.975,263973,4
22,Fearless,Tell Me Why,0.604,0.855,7,-3.097,1,0.038,0.0571,3.65E-06,0.343,0.51,99.96,200547,4
23,Fearless,You're Not Sorry,0.475,0.452,6,-4.134,1,0.027,0.146,1.36E-06,0.108,0.276,133.959,261787,4
24,Fearless,The Way I Loved You,0.433,0.7,5,-3.709,1,0.0336,0.0408,0,0.115,0.398,160.927,244227,4
25,Fearless,Forever & Always,0.608,0.821,10,-4.985,1,0.0576,0.0752,0,0.11,0.544,128.042,225320,4
26,Fearless,The Best Day,0.666,0.434,1,-8.543,1,0.0289,0.647,1.95E-06,0.124,0.396,126.084,245333,4
27,Fearless,Change,0.541,0.77,5,-4.17,1,0.0354,0.00408,0,0.117,0.215,96.013,280240,4
28,Speak Now,Mine,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87E-06,0.189,0.658,121.07,230707,4
29,Speak Now,Sparks Fly,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42E-06,0.163,0.374,114.987,260933,4
30,Speak Now,Back To December,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,293027,4
31,Speak Now,Speak Now,0.709,0.599,7,-3.734,1,0.0304,0.095,0,0.0973,0.735,118.975,240760,4
32,Speak Now,Dear John,0.589,0.47,4,-5.32,1,0.028,0.166,1.45E-06,0.112,0.102,119.386,403920,3
33,Speak Now,Mean,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,237733,4
34,Speak Now,The Story Of Us,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,265667,4
35,Speak Now,Never Grow Up,0.714,0.305,2,-8.837,1,0.0305,0.819,0,0.174,0.554,124.91,290467,4
36,Speak Now,Enchanted,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,352187,4
37,Speak Now,Better Than Revenge,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37E-06,0.36,0.635,145.821,217160,4
38,Speak Now,Innocent,0.552,0.608,1,-5.29,0,0.0259,0.186,0,0.125,0.17,134.05,302253,4
39,Speak Now,Haunted,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08E-06,0.149,0.352,162.088,242080,4
40,Speak Now,Last Kiss,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09E-05,0.101,0.196,89.038,367133,1
41,Speak Now,Long Live,0.418,0.68,7,-4.3,1,0.0346,0.036,7.59E-05,0.108,0.142,204.125,317947,4
42,Red,State Of Grace,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,295187,4
43,Red,Red,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,220827,4
44,Red,Treacherous,0.705,0.621,2,-8.086,1,0.0334,0.101,4.30E-06,0.147,0.395,109.993,240773,4
45,Red,I Knew You Were Trouble.,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25E-06,0.0398,0.679,77.019,217973,4
46,Red,All Too Well,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,327893,4
47,Red,22,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133,4
48,Red,I Almost Do,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13E-05,0.182,0.233,145.865,242573,4
49,Red,We Are Never Ever Getting Back Together,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65E-05,0.102,0.75,85.984,191880,4
50,Red,Stay Stay Stay,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,204827,4
51,Red,The Last Time,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15E-06,0.0921,0.123,94.069,298293,4
52,Red,Holy Ground,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,201853,4
53,Red,Sad Beautiful Tragic,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,283680,3
54,Red,The Lucky One,0.706,0.499,4,-7.675,1,0.0369,0.0371,0,0.132,0.545,117.937,240133,4
55,Red,Everything Has Changed,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89E-06,0.303,0.436,80.017,243933,4
56,Red,Starlight,0.649,0.777,9,-5.804,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,217827,4
57,Red,Begin Again,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52E-06,0.232,0.323,79.025,237613,4
58,1989,Welcome To New York,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76E-06,0.304,0.615,117.024,212600,4
59,1989,Blank Space,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64E-06,0.13,0.583,96.006,231827,4
60,1989,Style,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,231000,4
61,1989,Out Of The Woods,0.552,0.842,7,-6.938,1,0.0373,0.00103,1.17E-05,0.337,0.343,91.991,235800,4
62,1989,All You Had To Do Was Stay,0.602,0.736,5,-5.778,1,0.0338,0.00196,4.57E-05,0.105,0.471,96.969,193293,4
63,1989,Shake It Off,0.647,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.015,219200,4
64,1989,I Wish You Would,0.648,0.898,0,-5.963,1,0.0513,0.016,9.91E-05,0.109,0.502,118.02,207440,4
65,1989,Bad Blood,0.65,0.802,7,-6.114,1,0.181,0.0871,6.54E-06,0.148,0.295,170.146,211933,4
66,1989,Wildest Dreams,0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,220440,4
67,1989,How You Get The Girl,0.764,0.66,5,-6.136,1,0.0494,0.00461,0.00477,0.0915,0.524,119.988,247533,4
68,1989,This Love,0.475,0.459,4,-8.768,1,0.0333,0.635,0,0.101,0.0828,143.988,250093,4
69,1989,I Know Places,0.596,0.763,0,-4.99,1,0.0661,0.231,0,0.2,0.507,159.958,195707,4
70,1989,Clean,0.81,0.379,4,-7.771,1,0.0349,0.241,0,0.113,0.22,103.981,271000,4
71,reputation,...Ready For It?,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,208187,4
72,reputation,End Game,0.649,0.589,2,-6.237,1,0.0558,0.00845,0,0.108,0.151,159.073,244827,4
73,reputation,I Did Something Bad,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11E-05,0.0696,0.305,82.989,238253,4
74,reputation,Don’t Blame Me,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76E-05,0.0607,0.193,135.917,236413,4
75,reputation,Delicate,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,4
76,reputation,Look What You Made Me Do,0.766,0.709,9,-6.471,0,0.123,0.204,1.41E-05,0.126,0.506,128.07,211853,4
77,reputation,So It Goes...,0.574,0.61,2,-7.283,1,0.0732,0.122,1.10E-06,0.13,0.374,74.957,227907,4
78,reputation,Gorgeous,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48E-06,0.213,0.451,92.027,209680,4
79,reputation,Getaway Car,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23E-06,0.0888,0.351,172.054,233627,4
80,reputation,King Of My Heart,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21E-06,0.0391,0.314,110.01,214320,4
81,reputation,Dancing With Our Hands Tied,0.624,0.691,0,-6.686,0,0.196,0.0604,1.10E-05,0.138,0.284,160.024,211507,4
82,reputation,Dress,0.719,0.469,0,-8.792,1,0.0533,0.0329,0,0.169,0.0851,120.085,230373,4
83,reputation,This Is Why We Can't Have Nice Things,0.567,0.789,5,-5.986,1,0.115,0.0156,0,0.382,0.438,163.96,207133,4
84,reputation,Call It What You Want,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,203507,4
85,reputation,New Year’s Day,0.661,0.151,0,-12.864,1,0.0354,0.921,0,0.13,0.23,94.922,235467,4
86,Lover,I Forgot That You Existed,0.664,0.316,5,-10.345,1,0.519,0.298,2.03E-06,0.0812,0.541,92.875,170640,4
87,Lover,Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06E-05,0.105,0.564,169.994,178427,4
88,Lover,Lover,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58E-05,0.118,0.453,68.534,221307,4
89,Lover,The Man,0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,190360,4
90,Lover,The Archer,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,4
91,Lover,I Think He Knows,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,173387,4
92,Lover,Miss Americana & The Heartbreak Prince,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147,4
93,Lover,Paper Rings,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36E-05,0.0742,0.865,103.979,222400,4
94,Lover,Cornelia Street,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,287267,4
95,Lover,Death By A Thousand Cuts,0.712,0.732,4,-6.754,1,0.0629,0.454,0,0.319,0.313,94.071,198533,4
96,Lover,London Boy,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,190240,4
97,Lover,Soon You’ll Get Better (feat. The Chicks),0.433,0.182,0,-12.566,1,0.0641,0.907,0,0.123,0.421,207.476,201587,4
98,Lover,False God,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,200307,4
99,Lover,You Need To Calm Down,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360,4
100,Lover,Afterglow,0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,223293,4
101,Lover,ME! (feat. Brendon Urie of Panic! At The Disco),0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,193000,4
102,Lover,It’s Nice To Have A Friend,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,150440,4
103,Lover,Daylight,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,293453,4
104,folklore,the 1,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28E-06,0.108,0.172,139.883,210252,4
105,folklore,cardigan,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4
106,folklore,the last great american dynasty,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4
107,folklore,exile (feat. Bon Iver),0.298,0.38,6,-8.426,1,0.0287,0.778,5.62E-05,0.11,0.152,75.602,285634,4
108,folklore,my tears ricochet,0.456,0.263,0,-10.63,1,0.0332,0.806,0,0.0749,0.111,129.86,255894,4
109,folklore,mirrorball,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33E-06,0.0594,0.379,110.107,208978,4
110,folklore,seven,0.596,0.488,4,-10.769,1,0.0274,0.9,2.70E-05,0.091,0.415,94.926,208907,4
111,folklore,august,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28E-05,0.0925,0.403,89.937,261923,4
112,folklore,this is me trying,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74E-05,0.171,0.412,135.886,195097,4
113,folklore,illicit affairs,0.559,0.31,10,-10.445,1,0.0338,0.881,0,0.106,0.46,119.845,190898,4
114,folklore,invisible string,0.653,0.452,4,-11.143,0,0.055,0.838,7.73E-05,0.108,0.45,83.433,252881,4
115,folklore,mad woman,0.592,0.699,3,-8.995,1,0.0471,0.655,1.68E-05,0.114,0.506,141.916,237258,4
116,folklore,epiphany,0.354,0.267,1,-13.69,1,0.0281,0.731,0.000402,0.0858,0.113,94.219,289749,4
117,folklore,betty,0.593,0.377,0,-8.761,1,0.0253,0.6,0,0.0976,0.502,95.939,294521,4
118,folklore,peace,0.647,0.272,5,-12.906,1,0.0916,0.918,1.73E-05,0.0918,0.339,150.044,234000,4
119,folklore,hoax,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86E-06,0.133,0.429,118.819,220043,4
120,evermore,willow,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,214707,4
121,evermore,champagne problems,0.462,0.24,0,-12.077,1,0.0377,0.92,0,0.113,0.32,171.319,244000,4
122,evermore,gold rush,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,185320,4
123,evermore,‘tis the damn season,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59E-05,0.105,0.348,145.916,229840,4
124,evermore,tolerate it,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67E-05,0.0797,0.221,74.952,245440,5
125,evermore,"no body, no crime (feat. HAIM)",0.546,0.613,7,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015,215627,4
126,evermore,happiness,0.559,0.334,11,-10.733,1,0.0376,0.87,0,0.114,0.211,122.079,315147,4
127,evermore,dorothea,0.605,0.488,4,-8.322,1,0.0264,0.696,0,0.129,0.354,119.966,225880,4
128,evermore,coney island (feat. The National),0.537,0.537,8,-11.266,1,0.0617,0.819,0.000904,0.142,0.292,107.895,275320,4
129,evermore,ivy,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97E-05,0.0921,0.535,88.856,260440,4
130,evermore,cowboy like me,0.604,0.517,0,-9.014,1,0.0347,0.768,0.000155,0.123,0.511,127.967,275040,4
131,evermore,long story short,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,215920,4
132,evermore,marjorie,0.535,0.561,5,-11.609,1,0.0484,0.876,0.000136,0.115,0.287,96.103,257773,4
133,evermore,closure,0.689,0.704,9,-10.813,1,0.245,0.835,4.83E-06,0.134,0.92,151.884,180653,5
134,evermore,evermore (feat. Bon Iver),0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,304107,5
135,Midnights,Lavender Haze,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,202396,4
136,Midnights,Maroon,0.637,0.398,7,-8.294,1,0.0564,0.0573,1.03E-06,0.101,0.0374,108.075,218271,4
137,Midnights,Anti-Hero,0.637,0.643,4,-6.571,1,0.0519,0.13,1.80E-06,0.142,0.533,97.008,200690,4
138,Midnights,Snow On The Beach (feat. Lana Del Rey),0.663,0.319,9,-13.481,1,0.0375,0.69,0.000993,0.117,0.193,109.957,256124,4
139,Midnights,"You're On Your Own, Kid",0.696,0.396,2,-10.289,1,0.0656,0.401,5.20E-06,0.125,0.38,120.041,194207,4
140,Midnights,Midnight Rain,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17E-05,0.115,0.23,139.865,174783,4
141,Midnights,Question...?,0.751,0.502,7,-8.763,1,0.167,0.2,0,0.296,0.106,108.943,210557,4
142,Midnights,Vigilante Shit,0.798,0.277,4,-11.096,0,0.39,0.173,5.25E-05,0.121,0.163,79.846,164801,4
143,Midnights,Bejeweled,0.696,0.559,7,-9.19,1,0.0693,0.0618,5.58E-05,0.0887,0.433,163.999,194166,4
144,Midnights,Labyrinth,0.406,0.306,0,-15.48,1,0.0517,0.785,0.488,0.122,0.122,110.014,247962,4
145,Midnights,Karma,0.642,0.62,8,-7.091,1,0.0666,0.0734,0,0.483,0.0969,90.02,204852,4
146,Midnights,Sweet Nothing,0.337,0.156,0,-14.919,1,0.0518,0.964,7.72E-05,0.115,0.39,176.655,188497,4
147,Midnights,Mastermind,0.662,0.357,4,-14.064,1,0.154,0.553,0.00129,0.0837,0.124,125.966,191039,4